utc_std,city,lat,lng,country,timezone
UTC-1,Mindelo,16.886,-24.988,Cabo Verde,Atlantic/Cape_Verde
UTC-1,Ponta Delgada,37.74,-25.67,Portugal,Atlantic/Azores
UTC-1,Praia,14.9177,-23.5092,Cabo Verde,Atlantic/Cape_Verde
UTC-1,Lagoa,37.1347,-8.4528,Portugal,Atlantic/Azores
UTC-10,Honolulu,21.3294,-157.846,Hawaii,Pacific/Honolulu
UTC-10,Papeete,-17.5334,-149.5667,French Polynesia,Pacific/Tahiti
UTC-10,Kailua,21.392,-157.7396,Hawaii,Pacific/Honolulu
UTC-10,Hilo,19.6883,-155.0863,Hawaii,Pacific/Honolulu
UTC-10,Avarua,-21.207,-159.771,Cook Islands,Pacific/Rarotonga
UTC-11,Pago Pago,-14.274,-170.7046,American Samoa,Pacific/Pago_Pago
UTC-11,Alofi,-19.056,-169.921,Niue,Pacific/Niue
UTC-2,Nuuk,64.1767,-51.7361,Greenland,America/Nuuk
UTC-2,Qaanaaq,77.4667,-69.2306,Greenland,America/Nuuk
UTC-2,Grytviken,-54.2806,-36.508,South Georgia Islands,Atlantic/South_Georgia
UTC-3,Sao Paulo,-23.5504,-46.6339,Brazil,America/Sao_Paulo
UTC-3,Buenos Aires,-34.6036,-58.3814,Argentina,America/Argentina/Buenos_Aires
UTC-3,Rio de Janeiro,-22.9111,-43.2056,Brazil,America/Sao_Paulo
UTC-3,Montevideo,-34.9056,-56.1842,Uruguay,America/Montevideo
UTC-3,Stanley,-51.7,-57.85,Falkland Islands,Atlantic/Stanley
UTC-3:30,St. Johns,47.4817,-52.7971,Canada,America/St_Johns
UTC-4,Santiago,-33.4372,-70.6506,Chile,America/Santiago
UTC-4,Caracas,10.4806,-66.9036,Venezuela,America/Caracas
UTC-4,San Juan,18.3985,-66.061,Puerto Rico,America/Puerto_Rico
UTC-4,Asuncion,-25.2945,-57.6435,Paraguay,America/Asuncion
UTC-4,Halifax,44.6475,-63.5906,Canada,America/Halifax
UTC-4,La Paz,-16.4958,-68.1333,Bolivia,America/La_Paz
UTC-5,Lima,-12.06,-77.0375,Peru,America/Lima
UTC-5,Bogota,4.7111,-74.0722,Colombia,America/Bogota
